Comments,HateSpeech
"বাংলাদেশে কি জামাইয়ের অভাব পরেছে যে ফেইজবুকে জামাই ধরতে হবে, চরিত্রহিন নষ্টা নারী।",1
বাংলাদেশের ১৮ কোঠি মানুষের অভিশাপে তুমি টিকতে পারবে না আম্পিয়ার ,0
বর্তমান অবস্থা ভিক্ষা করতে আর গল্প বলতে টাকা লাগে না,0
"আর ব্যবসা করে লাভ নাই  এখন থেকে সাংবাদিক হয়ে যাব, মিথ্যা বুয়া ভিডিও বানাবো, আর টাকা ইনকাম করবো ",0
উনি কি তাহলে ছেলে ধরা ছিলেন,0
ওনার প্রোডাক্ট ভালো না আমাকে ছিঁড়া ওড়না দিয়েছে,0
আগেই জানতাম শরীল ব্যবসাই আর যাই হোক সৎ মানুষ হতে পারে নাহ!,1
চারিদিকে প্রতারণার চক্করে দেশ টা ভরে গেছে ,0
আর কত বিদেশ ঘুরবা মনু আর শরীর বিক্রি করবা সামলাও ঠেলা।,1
মানবতার কিডনিওয়ালা,0
একটা মানুষ এতটা জঘন্য হলে এত গুলো বছর এত মানুষকে আগলে রাখতে পারত না ,0
সাংবাদিক আর পুলিশ দুই ভাই আমরা সব বোকা চুদা ,1
বিশ্বাস হলো নামিডিয়া বিক্রি হয়ে গেছে।,0
"আত্নচিৎকার ও রক্ত দেখে পেতেন পৈশাচিক আনন্দ  বাহ কি সুন্দর নাটক, আমি লিখিত ভাবে তোদের নিউজের মাইরে চুদি ",1
আমাদের মধ্যে কতো মিল তাই না! দুইজন ই কাজকাম রেখে মোবাইল দেখতেছি!,0
শরীফা আপা,0
এই সমস্ত নোংরা নাটক বন্ধ করে দেওয়া উচিত ,0
"বিড়ি কিনতে যাচ্ছিলাম, ভিডিওটা দেখার পর এখন গাজাঁ কিনতে যাচ্ছি সবাই দোয়া করবেন যেন সুস্থ থাকি",0
জোভান থেকে জোভানা ,0
এদেরকে লজ্জার ভ্যাকসিন দেওয়া দরকার ,0
পৃথিবীর সবচেয়ে সুখী মানুষ ওরাই কোন লজ্জা শরম নাই এত প্রতারনা করার পর ও বীরের মতো লাইভ করে আবার।,0
আপায় কট খাইছে,0
"আপা তো দেখি মস্ত বড় লিজেন্ড, ",0
"ও তো নিজেই ডুপ্লিকেট মাল, তার প্রডাক্ট অরিজিনাল হয় কেমনে।?",1
"তাঁকে মুক্তিযোদ্ধার ভাতা দেওয়া উচিৎ, সে পাকিস্তানকে ধোঁকা দিয়েছে। সে এ যুগের নবীন মুক্তিযোদ্ধা",0
গুলিস্তান আর পাকিস্তান! এত মিল ক্যামনে,0
লোকলজ্জার ভয়ে বলতে পারছি না! ভীড়ের মাঝে এক মেয়ের ওড়নায় সর্দি মুছে ফেলেছি।,0
চুমু একটা ভাল দিক স্বাস্থ্যের জন্যে খোব উপকার.,0
"বাংলাদেশে রিকশাওয়ালা আর সাংবাদিক দুইটাই অনেক বাড়ছে, রিকশাওয়ালা যাত্রী পায়না. সাংবাদিক খবর পায়না",0
কপালে যেটুকু সুখ লিখা ছিল তাও এই গরমে ঘাম মুছতে মুছতে উঠে গেছে! ,0
মিমের একটা তানিশার দুটো ,0
আসলে তানিসার সাথে নাজিম কেই মানায়. কারণ ডাস্টবিনে ময়লা আবর্জনা থাকবে এটাইতো স্বাভাবিক. ,1
সানি লিওনের কথাটা বাদ গেল কেন বুঝলাম না ,0
তাতে আমাদের বাল ছেড়া গেছে ,1
বাংলাদেশে যে পরিমান সাংবাদিক আছে পৃথিবীর অনেক দেশে এতো পরিমাণ জনসংখ্যাও নাই। ,0
নারীরা এগিয়ে যাচ্ছে ঠিকই কিন্তু পাবনার দিকে ,0
মামুনের উচিত এখন লাইলার মেয়েকে বিয়ে করে লায়লাকে শাশুড়ী বানানো।,0
"এখন তো মনে হচ্ছে, লাইলাই বড় মাপের লুইচ্চা",1
ছোটবেলায় দেখতাম আলিফ লায়লা এখন বড় হয়ে দেখি মামুন লায়লা ,0
এমন নারী যেন কারও স্ত্রী না হয়,0
ভাই ওরে দেখলেই তো আমি অসুস্থ হইয়া যাই,0
ইজ্জত এর ভয়ে মন খুলে কমেন্ট করতে পারি না যদি এলাকার কেউ কমেন্ট পড়ে ,0
এবার ঠিক ঠিক ওটি করাতে হবে,0
ভ্যাকগ্রাউন্ড বেশি ভালো হয়নি ,0
দুঃখের বিষয় হচ্ছে ডাক্তার মেডাম এতো সুন্দর হইছে কেমনে ,0
বিচ্ছেদের পর আলগা খাওয়া সেই স্বাদ!,0
কেউ কাউকে ফাঁসায়ছে না আমরা ফেসবুক খুল ফেঁসেছি,0
লায়লা শরির এর চাহিদা মিঠাইসে।আর মামুন লুচ্চায় টাকা কামাইসে।২টাই লাভবান আর সময় নিউজ এর পেটে ভাতের ব্যবস্থা হইছে।,1
কচি বেডা মানুষের সাথে প্রেম বুড়ি মেয়ের ,1
লায়লার নামে শিশু ধর্ষণের মামলা হওয়া উচিৎ,1
প্রেম করে লাভ কি যদি মরেই যাই,0
ওই মহিলাকে প্রকাশ্যে ল্যংটা করে জনগনের কাছে জুতার মালা দিয়ে তুলে দেয়া হোক,1
"আমরা অপেক্ষার প্রহর গুনচি অচিরে আরেকটা জাতির কুলাঙ্গার জন্ম নিবে,",1
চেরি রে ও চেটেপুটে খাইয়ে.,1
"ছিড়ে যাক প্লাজূ, উড়ে যাক লুঙ্গি, তুমি কী হবে আমার জীবন সঙ্গী",0
"ব্রেকিং নিউজ গাঁজা সংকটে বাংলাদেশ, মিলছে না কোথাও। পূর্বের মজুদ কৃত কয়েকটি দোকানে সাংবাদিকদের উপচে পড়া ভিড়। ",0
থাকবে কি করে সমানে গুতা নিলে শক্তি আরো বাড়ার কথা,1
কনডম আর মেডিসিন না থাকলে এগুলো প্রতিদিনই পেগনেন্ট হত,1
আমি যাহা বুঝেছি আপনারাও কি তাই বুঝেছেন? ,0
রাতের ডোজ টা বেশি হয়েছিল মনে হয় ,0
উনি কিসে ক্লান্ত হলেন?,0
চুষে নিয়ে গেছে সব?,0
"চল্লিশা খাবো, সেই স্বাদ ",0
হোগা মারা দেগা,1
সেলিব্রিটি বলে কথা ওদের সবকিছু হঠাৎ করেই হয়। ,0
মেকআপ ছাড়া অচল,0
সেদিন সাকিব ইনভাইট করে নাই তাই হয়তো কষ্ট পেয়েছে,0
টাকা দাও আমি কিছু শক্তি দিবো,0
অনেক জনের সাথে খেলি শক্তি শেষ করে পেলচে ,0
সারাদিন গাঁজা খেয়ে কুল পাই না  সংবাদ পড়ার সময় কই ,0
"যুব সমাজ নষ্টের কারিগর, গালি দিয়ে ভরপুর সব নাটক, বয়কট চলছে চলবে",0
শিমুলের ক্ষমা চাওয়ার ডিজাইনটা দেখে মনে হচ্ছে সে বিজ্ঞাপন টা করে অনেক খুশি,0
এতো সিকিউরিটি থাকতে লিটন শান্ত মাঠে ডুকে কীভাবে ,0
দেশের প্রতিটি সেক্টর এইভাবে ধ্বংস করে দিয়েছে,0
"হজম শক্তির পাউডার খাওয়াই আর বানচোত সাংবাদিক বলে মোটা করণ ট্যাবলেট খাওয়াচ্ছে,",1
"একে বলে জাত শিল্পী আর ফারিনের খালি গলায় গান শুনলে মনে হয়, হানিফ সংকেত ধরে এনে শিল্পী বানিয়ে দিলো।",0
বোকাচোদা এগুলা রুচির সেলাইন জাম্বোবেট হাম্বাদিক সাহেব,1
ক্রাশের দুংখে. আমি মর্মাহত. ছিদ্র বন্ধ করতে সর্বদা প্রস্তুত ,0
"সাংবাদিক ভাই আপনি যাইয়া সাকিরার ফুডাটা বন্ধ করে দেন,",1
চোখ দুটো একসাথে করলে মাঝখানে যে ছিদ্র হয় ওটাই বুঝাইছে আর কি ,0
ছিদ্রটা মনে হয় ঐইটা দিয়ে করেছে ,0
"তোমাদের নিচের ছিদ্রই ভরে না, আবার বুকে ছিদ্র ",1
এর উপর যেনো নাজিম বাইনচুদের নজর না পরে,1
তোর বুবস দুটো একত্র করলে ওইখানে তো কৃত্রিম একটি ছিদ্র তৈরী হয়েই যায়। তোর ৩৪ সাইজের মাই দুটোকে একত্রিত করে রাখিস নাকি সারাক্ষণ?,1
সাবরিনা কি তৃতীয় লিঙ্গের হয়ে গেল,1
হিজরার মতো খালি মচরা মুচি করে ,1
ধৈর্য এবং বীর্য দুটোই যে ধরে রাখতে জানে সেই আসল পুরুষ।,1
"এর কথা আর কন্ঠে, কেমন জানি চুদাইনা চুদাইনা ভাব আহে",1
গরুর হাটে গাধী গেছে।,0
ষাঁড়ে এক থেকে দুইবার খেলেছিল সাবরিনাকে,1
বিশ্ব বিদ্যালয়ের অনুষ্ঠানে একজন পর্ণস্টার আসবে,1
প্রগতিশীল বুদ্ধিজীবীরা কয় সানিলিওন নাকি পর্ণস্টার গোদ বেছনি নয়!,1
লায়লার কচি মাল পছন্দ লায়লা যেটাই খাবে সব কচি কচি ,0
"এ কি দেহ ব্যবসায়ী নাকি, হালির বেটির কতিন শাস্তি চাই কি বল তবাই",1
লায়লার মাথায় শুধু ই সেক্স করার ধান্দা,1
খাওয়া দাওয়া শেষ দ্য এন্ড ,0
বন্ধুর বাড়িতে গিয়ে রাতে থেকে কি করলেন? সেটা জানতে চায় জাতী।,0
বিমানে ওঠার টাকা নাই তাই রকেটে করে বাড়ি যাই ,0
"এখানে তাকে রাতে তাকে চুদেচে তাই সেয় চিৎকার করতে চিল,",1
চোদার জন্য চিললাই,1
হাসতে হাসতে বিযপাত হয়ে গেলো ,1
ওটাকে চিল্লানো বলেনা ওটা পর্যাপ্ত তৃপ্তি পাওয়ার একটা কঠিন অনুভূতি প্রকাশ পায় ,0
লায়লার দিন শেষ আইনজীবীর বাংলাদেশ ,0
ওরা দুইডা ওয়াশরুমে কি করে?,0
"গর্ত করে, গায়ে মাটি লেগেছে সেটা পরিষ্কার করছে,",0
"এতদিন তাহলে লায়লার দুদু খাইছে, আর কিছু করেনি,",1
তার এখন ও গুড়ুয়ে বাল ও উটেনা,1
সব সেটা বড় সুতমারানি এক রাতে মজা পেয়ে গেছে এখন পুন্দা পুন্দি শুরু,1
মাঝখান দিয়া ৮ ইঞ্চিরা যাইবো নি ,0
দূধ দেখলে সূখ পায়,0
উদলা না হলে নায়িকা হওয়া যায় না,1
পরিচালকের সাথে রাত কাটালেই নায়িকা,1
দুধ হলো শরীরের বাড়তি মাংশ,1
"দুধ তো আগেই বড় হয়ে আছে, উনি খেললে যে কী হবে!",1
গর্তে ইঁদুর ঢুকে মজা পায় না! তাই বেরিয়ে যায়,1
কেয়া কসমেটিকের পক্ষ থেকে প্যান্থার মুভি দেখার জন্য অনুরোধ রইল এর বেশি কিছু বলা নিষেধ। ,0
আর কত লিংক দেখব তোদের জন্য হ্যান্ডেল মেরে মেরে শেষ হয়ে গেলাম,0
স্বর্ণ নিয়ে আসেন কিসে করে?,0
কয়দিন পর বলবে আমি ভাত খাই ডায়মন্ডের থালায়,0
সানি লিওনের লেংটা ভিডিও আমার কাছে আছে,1
নিওমিত কাম দিলেই ফিট থাকা জাই,0
সকালটা শুরু হয় প্রচুর পরিমাণ দুধ পান করে কি আজব তাই না ,0
চোদাচুদির বিকল্প নেই,1
নিয়মিত সেক্স করলে সৌন্দর্য বাড়ে,1
দুইটা দুধ নিয়ে নিজেকে ভাবছো তুমি রানী! কুত্তার তো ৬ টা আছে সে তো তাহলে মহারানী!,1
পরিমনিকে বিয়ে করতে যাচ্ছেন হিরো আলম,0
পরিমনি মানেই তো উষ্নতার সমুদ্র,0
দুধ এখন কদু হয়ে গেছে ,1
দুধ বের করলে যদি উস্নতা হয় তাহলে কুত্যার উস্নতা সব চেয়ে বেশি,1
পরীর বড় বড় দূধ গুলা কাইটা আমার বাসাই লয়ে আই পিকনিক করমু ,1
এমন শাড়ি পরার কি দরকার উলঙ্গ হয়ে থাকতে পারতেন।,1
"আহারে, কবে এ দেশটা চোরের হাত থেকে মুক্তি পাবে ",0
কোন শান্ত? জিরো মারা শান্ত? কিনমু না.,0
দুই জনকে এলাকাবাসী মিলে জোতার মালা দেয়া উচিদ। ,1
অনেক ঠাপাঠাপির পর একটু বমি আহ্ কি শান্তি ,0
নাড়া দিতেই এভাবে বেড়িয়ে আসে কেনো ,0
বাংলাদেশে এখন বড় ব্যবসা হলো লিংক এর ব্যবসা,0
নাম এইতো দিঘী দিঘীর সমুদ্র ত গভীর হবেই,0
মামার হাতেই পরম যত্নে দিগি ধীরে ধীরে সাগরে রুপান্তরিত হয়েছে,0
উর্বর দুই পাহাড় ভাগ্য তো তাহার যে করিয়াছে আহার! ,0
ব্যথা দিও না,0
আমার খুব ভালো লাগে কেউ ধরলে,0
আমি ও বলি মনের চেয়ে ও ওইটাই নরম।,0
ও আ উ আ ই ,0
এটা মন নারে পাগলা এটা হলো দুধ.,1
মন ভেবে যা টিপছো ওটা অন্যের খাবার,0
আহো ভাতিজা আহো তোমার লাগাইয়া শুইয়া আছি।,0
"যৌবন জ্বালায় অস্থির কলেজ বা বিশ্ববিদ্যালয়ের ছাত্রী, বিবাহিত ভাবি, আন্টি, স্বামী প্রবাসে থাকে এমন কোনো মেয়ে একাকীত্ব দূর করে কল এ মজা করতে চাইলে আমাকে মেসেজ করেন সেক্স লেখে ",1
"মন পাষাণ। দুধ নরম। মন ছোট, দুধ বড়। এটাই বারো ব্যাটারি কন্যা",1
নামবে কুমির নোনতা খালে খাল ভরবে সাদা মালে।,1
হাসতে হাসতে বান্ধবীর সাথে সহবাস করে ফেল্লাম.,1
বাজে চিন্তা বাদ দিয়ে গাছ লাগাও,0
অনেক বার লাগাইছি তবু চলে গেছে,0
"তাদের সাউয়াই অনেক কারেন্ট, তাই লাগানোর পরেও চলে যায়।",1
সুপার গ্লু দিয়ে লাগলে গ্যারানটি,0
আইসক্রিম কালো হলে কি হবে ভিতরে তো তোমার থেকেও সাদা ,0
তোমার ঠোঁট দুটি গোলাপী কিন্তূ নিচের পাপড়ী দুটি কালো কেনো,0
ভালো করে ঠাপানো হলে শেষ হবে রাস্তা,0
উফফ অনেক স্বাদ চুলকানো টা কি যে ভালো লাগে ,0
লুচ্ছা একটা বন্ধু চাই ,1
"যখন চুল কাবে আমাকে বলবেন, আমি চুলকে দেবো",0
ঐখানে শুধু বড় মোটা কলা দিতে হয়,0
মালম লাগবে মলম চুলকানির মলম বিশেষ অঙ্গে লাগানোর মলম ,0
আহারে খাউজ্জায় চুলকায় মজা লাগে পোড়ায় যখন চুলকানি উঠে তখন ইচ্ছে করে দুইশ টাকা রোজের কামলা ভাড়া করে চুলকাই,0
ওই খানে চুলকালে তো তোমাদের ওইটায় পানি আইসা পরার কথা ,0
মেয়েদের কলা খাইতে হয় বেশি করে।,0
মেয়েদের টাকা পয়সা কিছু লাগে না। নিচেরটা ঠিক থাকলে হয়।,1
এইগুলো বুঝিনা জন্য আমি সিঙ্গেল,0
এই মামুনির চুষতে ভালো লাগে!,0
নিচের জ্বালা উঠছে মনে হয় ,1
ইস আস্তে কামড় দিতে বলছিলা,0
লাউটা ঝুইলা মাটিতে পইরা গেছে ওইটা আবার মামনি কেমনে হয়,1
এর নতুন নতুন দুধ মোটা হচ্ছে তার জন্য মামুনি আনন্দই আছে,1
উফফ রসালো মাল ,0
ওখান থেকে জল খেতে গেলে সব ছেলে দুর্বল হয়ে যাবে ,0
"পেছন থেকে, ডগি স্টাইলে",0
আমার কোনো দোষ নাই আপুটি টিশার্ট এ লিখা ,0
শান্তি আফা! ,0
দরকার হয় কিডনি বিক্রি করে টাকা দেব. শান্ত লিটন দের দেশে আনার ব্যবস্থা করা হোক,0
কে জানতো এই ছেলেই বাংলাদেশের ক্রিকেট এর গুয়া মারবে ,1
"দুধগুলো ঢেকে রাখা উচিত, এগুলো বাচ্চার খাবার",0
আই রে আই টিয়ে দূধ ভাত দিয়ে,0
বাচ্চাটা দুধের অভাবে ভুগছে। এটা দেন ক্যাপশান,0
সাপ ফণা ধরে আছে বিষ নামিয়ে দিবে?,0
